Date,Price,Open,High,Low,Vol.,Change %
29-Dec-22,15.7001,15.1202,16.0497,14.8901,905.33K,3.83%
28-Dec-22,15.1202,15.8698,15.8905,14.9698,713.80K,-4.72%
27-Dec-22,15.8698,16.2514,16.3204,15.5924,365.04K,-2.40%
26-Dec-22,16.2607,16.2001,16.3097,16.0204,348.04K,0.37%
25-Dec-22,16.2001,16.451,16.4897,15.8602,420.72K,-1.53%
24-Dec-22,16.451,16.3999,16.4899,16.3407,210.27K,0.31%
23-Dec-22,16.3999,16.4803,16.5197,16.2521,462.74K,-0.49%
22-Dec-22,16.4803,16.6396,16.7589,15.8601,703.44K,-0.96%
21-Dec-22,16.6396,15.9301,16.6791,15.5399,926.92K,4.45%
20-Dec-22,15.9301,15.1899,16.0598,15.1003,565.09K,4.87%
19-Dec-22,15.1899,15.9398,16.1699,14.7626,756.50K,-4.70%
18-Dec-22,15.9398,16.1994,16.2394,15.7706,424.54K,-1.60%
17-Dec-22,16.1994,15.9207,16.2786,15.7701,813.98K,1.75%
16-Dec-22,15.9207,18.1896,18.3496,15.6397,969.61K,-12.47%
15-Dec-22,18.1896,18.7516,18.8701,17.9897,515.50K,-3.00%
14-Dec-22,18.7516,19.2605,19.4697,18.7299,624.78K,-2.69%
13-Dec-22,19.2697,18.5501,19.728,17.9195,987.79K,3.88%
12-Dec-22,18.5501,18.8896,18.9109,18.0604,594.90K,-1.80%
11-Dec-22,18.8896,19.1496,19.42,18.8085,335.12K,-1.36%
10-Dec-22,19.1496,19.1587,19.34,19.0197,347.77K,-0.05%
9-Dec-22,19.1587,19.1798,19.4301,18.9804,475.42K,-0.11%
8-Dec-22,19.1798,18.713,19.2587,18.5423,449.33K,2.49%
7-Dec-22,18.713,19.5598,19.6305,18.5708,544.27K,-4.33%
6-Dec-22,19.5598,19.4403,19.5676,19.2298,370.10K,0.61%
5-Dec-22,19.4403,19.49,20.2099,19.1718,754.64K,-0.26%
4-Dec-22,19.49,19.2298,19.5801,19.2101,430.60K,1.41%
3-Dec-22,19.22,19.8603,19.9195,19.14,427.19K,-3.22%
2-Dec-22,19.8603,19.7497,19.8998,19.3112,509.90K,0.56%
1-Dec-22,19.7497,20.2813,20.3006,19.659,589.24K,-2.62%
30-Nov-22,20.2813,19.5103,20.4776,19.4717,1.03M,3.90%
29-Nov-22,19.5195,19.3302,19.8196,19.1295,521.82K,0.98%
28-Nov-22,19.3302,19.8133,19.8888,18.4467,1.38M,-2.44%
27-Nov-22,19.8133,19.8596,20.3697,19.7513,783.94K,-0.23%
26-Nov-22,19.8596,20.0804,20.9274,19.7471,774.62K,-1.10%
25-Nov-22,20.0804,20.2122,20.585,19.6593,790.72K,-0.65%
